*Vulpix Alola_Alternate
*Golduck Altcolor
*Grimer Starter
Kangaskhan Altcolor
*Lapras Alternate
*Vaporeon Altcolor
*Sunkern Beta
*Gligar Starter
*Snubbull Altcolor
*Scizor Beta
Sneasel Temp
*Sneasel Beta
*Entei Altcolor
*Ho_Oh Alternate
*Blaziken Alternate
*Sableye Altcolor
*Wailord Alternate
*Solrock Altcolor
*Milotic Alternate
*Absol Altcolor
*Piplup Altcolor
*Roserade Alternate
*Cranidos Alternate
*Rampardos Alternate
*Bastiodon Altcolor
Burmy No_Cloak
*Riolu Alternate
Yanmega Temp
*Gallade Altcolor
*Kyurem Black_Alternate
*Kyurem White_Alternate
*Ursaluna Bloodmoon_Alternate
